Fecha,Clics,Impresiones,CTR,Posición
2026-05-28,0,0,,
2026-05-29,0,0,,
2026-05-30,0,1,0%,3
2026-05-31,0,0,,
2026-06-01,0,0,,
2026-06-02,0,0,,
2026-06-03,0,0,,
2026-06-04,0,7,0%,28.1
2026-06-05,1,8,12.5%,30.5
2026-06-06,0,7,0%,46.1
2026-06-07,0,5,0%,64.2
2026-06-08,0,7,0%,23.3
2026-06-09,0,12,0%,44.2
2026-06-10,0,9,0%,31.4
2026-06-11,0,15,0%,14.9
2026-06-12,0,13,0%,29.5
2026-06-13,0,10,0%,41.3
2026-06-14,0,9,0%,31.2
2026-06-15,0,48,0%,38.2
2026-06-16,0,37,0%,19.1
2026-06-17,1,116,0.86%,9.8
2026-06-18,0,52,0%,12.2
2026-06-19,1,26,3.85%,9.9
2026-06-20,0,9,0%,13.8
2026-06-21,0,12,0%,9.4
2026-06-22,1,14,7.14%,6.6
2026-06-23,0,11,0%,8.3
2026-06-24,0,4,0%,9
2026-06-25,0,12,0%,7.2
2026-06-26,0,7,0%,9.9
2026-06-27,0,2,0%,7.5
2026-06-28,0,7,0%,9.7
2026-06-29,0,6,0%,7.3
2026-06-30,0,2,0%,3
2026-07-01,0,7,0%,6.1
2026-07-02,0,4,0%,36
2026-07-03,0,5,0%,7
2026-07-04,0,1,0%,2
2026-07-05,0,4,0%,4.8
2026-07-06,0,4,0%,5.5
2026-07-07,0,2,0%,28.5
2026-07-08,0,1,0%,3
2026-07-09,0,11,0%,8.2
2026-07-10,0,3,0%,7.3
2026-07-11,0,3,0%,5.7
2026-07-12,0,2,0%,10
2026-07-13,0,2,0%,5.5
2026-07-14,0,2,0%,11
2026-07-15,0,1,0%,7
2026-07-16,0,0,,
2026-07-17,0,0,,
2026-07-18,0,0,,
2026-07-19,0,0,,
2026-07-20,0,2,0%,36
2026-07-21,0,2,0%,4.5
