País,Clics,Impresiones,CTR,Posición
España,2,118,1.69%,18.1
México,1,27,3.7%,14.74
Ecuador,1,11,9.09%,4
Estados Unidos,0,200,0%,18.71
Chile,0,40,0%,44.3
Argentina,0,23,0%,7.17
Perú,0,21,0%,6.1
Colombia,0,14,0%,6.57
Países Bajos,0,9,0%,1.89
Canadá,0,8,0%,16.38
Venezuela,0,6,0%,8
Reino Unido,0,6,0%,22.83
Alemania,0,4,0%,1.5
República Dominicana,0,4,0%,5.5
Uruguay,0,4,0%,5.75
Portugal,0,3,0%,7
Suiza,0,3,0%,7.67
Bolivia,0,2,0%,3
Rusia,0,2,0%,4.5
Panamá,0,2,0%,6
Brasil,0,2,0%,6.5
Indonesia,0,2,0%,7
Turquía,0,2,0%,9.5
China,0,1,0%,1
Costa Rica,0,1,0%,1
Rumanía,0,1,0%,1
Macedonia del Norte,0,1,0%,2
Vietnam,0,1,0%,9
Polonia,0,1,0%,12
La India,0,1,0%,28
Filipinas,0,1,0%,56
Emiratos Árabes Unidos,0,1,0%,57
Ghana,0,1,0%,57
Australia,0,1,0%,75
